subcategory_1,subcategory_2,similarity
Food & Drink,Health/Wellness,0.3596464991569519
Dance,Folk,0.3589957356452942
Hip-Hop/Rap,Pop,0.35849660634994507
Hip-Hop/Rap,Rodeo,0.3578663468360901
Fine Art,Miscellaneous Theatre,0.3578576445579529
Dance,Latin,0.3577914834022522
Folk,Rock,0.3573654890060425
Community/Civic,Magic & Illusion,0.35719144344329834
Opera,Performance Art,0.35699576139450073
Action/Adventure,Ice Shows,0.35669779777526855
Circus & Specialty Acts,Miscellaneous Theatre,0.35648202896118164
Family,Soccer,0.35640817880630493
Blues,Folk,0.35631799697875977
Fine Art,Pop,0.35630422830581665
Music,Volleyball,0.35600417852401733
Rock,Soccer,0.3554534316062927
Dance,Opera,0.3553197681903839
Comedy,Wrestling,0.35516124963760376
Baseball,Boxing,0.3549591302871704
Family,Fine Art,0.35483765602111816
Martial Arts,Soccer,0.35471242666244507
Fine Art,Rock,0.35470372438430786
Horror,Rodeo,0.3545202612876892
Boxing,Latin,0.35450077056884766
Drama,Ice Shows,0.3544806241989136
Lecture/Seminar,Motorsports/Racing,0.35386180877685547
Hip-Hop/Rap,Martial Arts,0.35373175144195557
Horror,Science Fiction,0.35355448722839355
Fine Art,Hip-Hop/Rap,0.35297393798828125
Fine Art,Ice Shows,0.35175788402557373
Comedy,Volleyball,0.3511732816696167
Children's Music,New Age,0.35056495666503906
Boxing,Music,0.34976160526275635
Fine Art,Folk,0.3497214913368225
Dance,Rodeo,0.349311888217926
Family,Jazz,0.34685957431793213
Boxing,Dance,0.34567129611968994
Holiday,Rock,0.34566590189933777
Fine Art,New Age,0.345531702041626
Lecture/Seminar,Psychics/Mediums/Hypnotists,0.3452589809894562
Hobby/Special Interest Expos,Psychics/Mediums/Hypnotists,0.3448237180709839
Fashion,Opera,0.34375569224357605
Hip-Hop/Rap,Ice Shows,0.3436296880245209
Fine Art,Martial Arts,0.34297290444374084
Metal,Volleyball,0.34284353256225586
Hobby/Special Interest Expos,Motorsports/Racing,0.3427411913871765
Rodeo,Volleyball,0.342739462852478
Blues,Music,0.34253454208374023
Country,Rock,0.3422629237174988
Action/Adventure,Miscellaneous Theatre,0.34224504232406616
Rock,Roller Derby,0.3421890139579773
New Age,Performance Art,0.34193170070648193
Latin,Rodeo,0.3417587876319885
Boxing,Equestrian,0.3411403000354767
Fashion,Wrestling,0.3410128355026245
Holiday,Religious,0.3406737446784973
Children's Theatre,Folk,0.34060996770858765
Blues,Horror,0.3402891755104065
Family,Metal,0.340049684047699
Ice Skating,Roller Derby,0.3395411968231201
Fairs & Festivals,Miscellaneous Theatre,0.3391152620315552
Blues,Boxing,0.33892765641212463
Hockey,Soccer,0.3386881351470947
Horror,Wrestling,0.33861008286476135
Folk,Volleyball,0.33833378553390503
Blues,Roller Derby,0.3377140760421753
Boxing,Jazz,0.3368801474571228
Comedy,Rodeo,0.3366895318031311
Drama,Theatre,0.33597666025161743
Hip-Hop/Rap,Latin,0.3359615206718445
Alternative,Pop,0.33584868907928467
Hobby/Special Interest Expos,Ice Shows,0.33558323979377747
Martial Arts,Metal,0.3355553150177002
Equestrian,Martial Arts,0.334381639957428
Motorsports/Racing,Rodeo,0.33412936329841614
Music,Performance Art,0.33405250310897827
Ice Shows,Volleyball,0.33399251103401184
Baseball,Hockey,0.33380621671676636
Hip-Hop/Rap,Magic & Illusion,0.3332147002220154
Circus & Specialty Acts,Martial Arts,0.33274203538894653
Folk,Roller Derby,0.3326074779033661
Magic & Illusion,Martial Arts,0.33251476287841797
Football,Miscellaneous Theatre,0.3325088620185852
Fashion,Martial Arts,0.3323120176792145
Hockey,Rock,0.33156222105026245
Children's Music,Fairs & Festivals,0.33149611949920654
Children's Music,Roller Derby,0.33135783672332764
Dance/Electronic,Rodeo,0.3312734365463257
Fairs & Festivals,Theatre,0.3311871290206909
Dance/Electronic,Martial Arts,0.33069971203804016
Alternative,Latin,0.3303186595439911
Children's Music,Folk,0.3302419185638428
Blues,Ice Shows,0.32996830344200134
Drama,Science Fiction,0.32966482639312744
Blues,Volleyball,0.3296571969985962
Alternative,Dance/Electronic,0.3294251561164856
Dance,Football,0.3291994333267212
Hip-Hop/Rap,Music,0.32895106077194214
Dance,Martial Arts,0.3288736343383789
Blues,Holiday,0.32878822088241577
Soccer,Wrestling,0.3283287286758423
Dance/Electronic,Fine Art,0.3277469277381897
Children's Music,Pop,0.32706356048583984
Comedy,Pop,0.3270627558231354
Performance Art,Volleyball,0.326587438583374
Country,Foreign,0.32640135288238525
Performance Art,Wrestling,0.32556048035621643
Dance/Electronic,Magic & Illusion,0.3255467116832733
Miscellaneous Theatre,Music,0.32461678981781006
Reggae,Roller Derby,0.3238258361816406
Circus & Specialty Acts,Wrestling,0.3236999809741974
Equestrian,Volleyball,0.32365161180496216
Children's Music,Performance Art,0.32361477613449097
Drama,Wrestling,0.3226243257522583
Children's Music,Rock,0.32260435819625854
Miscellaneous Theatre,Volleyball,0.32248467206954956
Comedy,Football,0.32198452949523926
Blues,Motorsports/Racing,0.32190579175949097
Miscellaneous Theatre,Performance Art,0.32166993618011475
Folk,World,0.3216050863265991
Holiday,Miscellaneous Theatre,0.32035720348358154
Comedy,Ice Shows,0.31983616948127747
Cultural,Wrestling,0.3197728097438812
Horror,Roller Derby,0.31892532110214233
Hip-Hop/Rap,Soccer,0.3187676966190338
Horror,New Age,0.3187534213066101
Blues,Hip-Hop/Rap,0.3185533881187439
Documentary,Science Fiction,0.31845808029174805
Community/Civic,Martial Arts,0.3182845711708069
Holiday,Music,0.3182268738746643
Alternative,Performance Art,0.3175581097602844
Dance,Horror,0.31730395555496216
Roller Derby,Spectacular,0.3169717788696289
Folk,Reggae,0.3168502449989319
Music,Soccer,0.31648534536361694
Children's Music,Volleyball,0.31638845801353455
Dance/Electronic,Fairs & Festivals,0.3163870573043823
Boxing,Comedy,0.31615394353866577
Hip-Hop/Rap,Volleyball,0.3159209191799164
Miscellaneous Theatre,World,0.31560197472572327
Jazz,Rodeo,0.3152255415916443
Children's Theatre,Martial Arts,0.3149374723434448
Opera,Roller Derby,0.3143737316131592
Boxing,Holiday,0.3140003979206085
Fashion,Performance Art,0.31397420167922974
Fashion,Hip-Hop/Rap,0.31395238637924194
Baseball,Music,0.3138284683227539
Opera,Spectacular,0.3136262595653534
Fine Art,Volleyball,0.31319743394851685
Holiday,Soccer,0.31285959482192993
Blues,Rodeo,0.312694251537323
Baseball,Roller Derby,0.3126748204231262
Family,Volleyball,0.3117067217826843
Opera,Wrestling,0.31150588393211365
Motorsports/Racing,Psychics/Mediums/Hypnotists,0.31064802408218384
Children's Theatre,Fine Art,0.31056636571884155
Hip-Hop/Rap,Jazz,0.3105388879776001
Hobby/Special Interest Expos,Spectacular,0.30998867750167847
Dance,Holiday,0.30974894762039185
Theatre,Volleyball,0.30969738960266113
Baseball,Soccer,0.30969271063804626
Latin,Metal,0.30904048681259155
Opera,Volleyball,0.308826744556427
Holiday,Wrestling,0.3081803619861603
Fashion,Reggae,0.3081439137458801
Dance,Hobby/Special Interest Expos,0.3081211745738983
Blues,Children's Music,0.3075173795223236
Hobby/Special Interest Expos,Performance Art,0.3074389100074768
Children's Theatre,Drama,0.3068038523197174
Dance/Electronic,Rock,0.3063448369503021
Opera,Reggae,0.3059266209602356
Holiday,Performance Art,0.3057250678539276
Blues,Family,0.30493253469467163
Football,Martial Arts,0.304623007774353
Football,Music,0.30381786823272705
Children's Music,Ice Shows,0.3037979006767273
Children's Music,Rodeo,0.3036765456199646
Volleyball,World,0.30333372950553894
Folk,Hip-Hop/Rap,0.30330514907836914
Circus & Specialty Acts,Hobby/Special Interest Expos,0.30246955156326294
Children's Theatre,Ice Shows,0.30174824595451355
Football,Jazz,0.3016791343688965
Magic & Illusion,Wrestling,0.3016525208950043
Children's Theatre,New Age,0.3015873432159424
Football,Hockey,0.30133700370788574
Fashion,Horror,0.30132752656936646
Circus & Specialty Acts,Magic & Illusion,0.3010038137435913
Drama,Holiday,0.30093276500701904
Holiday,Volleyball,0.3008005917072296
Blues,Ice Skating,0.3006344437599182
Dance,Miscellaneous Theatre,0.3001967668533325
Hip-Hop/Rap,Hockey,0.3001747131347656
Horror,Magic & Illusion,0.29971057176589966
Folk,Music,0.299643874168396
Action/Adventure,Miscellaneous,0.29963815212249756
Folk,Performance Art,0.29944461584091187
Boxing,Football,0.29934775829315186
Latin,World,0.2989290952682495
Metal,Roller Derby,0.2987673878669739
Children's Music,Family,0.2982275187969208
Magic & Illusion,Roller Derby,0.2980910837650299
Blues,Martial Arts,0.29769468307495117
Performance Art,Rock,0.2969092130661011
Ice Shows,Reggae,0.2967519164085388
Comedy,Spectacular,0.29578837752342224
Alternative,Roller Derby,0.2955923080444336
Children's Theatre,Hip-Hop/Rap,0.2954889237880707
Jazz,World,0.2954834997653961
Alternative,Children's Theatre,0.29515546560287476
Reggae,Wrestling,0.29487884044647217
Jazz,Music,0.2947574257850647
Pop,Roller Derby,0.29464930295944214
Miscellaneous Theatre,Opera,0.294542133808136
Boxing,Volleyball,0.2944837510585785
Dance/Electronic,Performance Art,0.2944657504558563
Martial Arts,Theatre,0.29406994581222534
Hobby/Special Interest Expos,Roller Derby,0.29394155740737915
Cultural,Volleyball,0.2933441996574402
Dance/Electronic,Volleyball,0.2918686270713806
Body Building,Health/Wellness,0.29171299934387207
Blues,Soccer,0.2916172444820404
Ice Shows,Rock,0.291489839553833
Comedy,Performance Art,0.2910047173500061
Fashion,Soccer,0.2907445728778839
Roller Derby,Theatre,0.2905644178390503
Miscellaneous,Rock,0.29027241468429565
Cultural,Family,0.29004400968551636
Performance Art,World,0.2899419069290161
Jazz,Martial Arts,0.2898540496826172
Multimedia,Music,0.2897878885269165
Ice Shows,Motorsports/Racing,0.2897447943687439
Hockey,Wrestling,0.28949832916259766
Reggae,Volleyball,0.2891136407852173
Fairs & Festivals,Hobby/Special Interest Expos,0.28885430097579956
Football,Holiday,0.28825798630714417
Children's Music,Dance,0.2881840169429779
Family,Religious,0.2881069481372833
Hip-Hop/Rap,World,0.28787803649902344
Country,Family,0.2878246307373047
Dance,Drama,0.2877674102783203
Hip-Hop/Rap,Hobby/Special Interest Expos,0.2874670922756195
Children's Theatre,Family,0.28744885325431824
Baseball,Blues,0.28732413053512573
Animation,Documentary,0.2872782349586487
Dance,World,0.28721532225608826
Action/Adventure,Pop,0.2868260145187378
Holiday,Pop,0.2867562472820282
Metal,Pop,0.28660017251968384
Folk,Jazz,0.28632599115371704
Fairs & Festivals,Holiday,0.2862662672996521
Miscellaneous Theatre,Rock,0.2857784330844879
Theatre,Wrestling,0.285603404045105
Basketball,Food & Drink,0.28559762239456177
Fashion,Music,0.28553688526153564
Latin,Opera,0.2852526307106018
Action/Adventure,Children's Music,0.28501713275909424
Latin,Motorsports/Racing,0.28483253717422485
Family,Miscellaneous Theatre,0.2844908833503723
Country,Fine Art,0.28429460525512695
Children's Theatre,Opera,0.28424888849258423
Music,Opera,0.2841087579727173
Dance,Ice Skating,0.2840898931026459
Opera,Theatre,0.2840615510940552
Cultural,Foreign,0.2839583456516266
Horror,Rock,0.28391653299331665
Ballads/Romantic,Horror,0.2834044098854065
Hockey,Rodeo,0.28328877687454224
Fine Art,Roller Derby,0.28296491503715515
Baseball,Rodeo,0.2825736999511719
Holiday,Roller Derby,0.2818435728549957
Cultural,Roller Derby,0.2816973626613617
Baseball,Basketball,0.28116220235824585
Alternative,Community/Civic,0.28100427985191345
Fine Art,Metal,0.28054356575012207
Metal,World,0.2805422842502594
Horror,Spectacular,0.27971264719963074
Dance/Electronic,Reggae,0.2796553373336792
Horror,Volleyball,0.2796504497528076
Community/Civic,Reggae,0.2795318365097046
Horror,Performance Art,0.2793785333633423
Latin,Wrestling,0.27930399775505066
Action/Adventure,Drama,0.27926477789878845
Children's Theatre,Rodeo,0.27923089265823364
Ice Shows,Performance Art,0.27905216813087463
Country,Music,0.2789645791053772
Dance,Hockey,0.27884939312934875
Alternative,New Age,0.2787349224090576
Baseball,Wrestling,0.2784712016582489
Motorsports/Racing,Pop,0.2781979441642761
Circus & Specialty Acts,Equestrian,0.2779189944267273
Animation,Ice Skating,0.277706116437912
Children's Music,Community/Civic,0.2767520546913147
Children's Theatre,Hobby/Special Interest Expos,0.276736855506897
Community/Civic,Family,0.27651873230934143
Equestrian,Wrestling,0.2764027714729309
Motorsports/Racing,Reggae,0.2763265073299408
Fine Art,Hockey,0.27623164653778076
Comedy,Hip-Hop/Rap,0.2759414613246918
Fine Art,Rodeo,0.2759164273738861
Children's Theatre,Performance Art,0.2757442593574524
Holiday,Metal,0.27560392022132874
Metal,Performance Art,0.27516111731529236
Hip-Hop/Rap,Miscellaneous Theatre,0.27468636631965637
Dance/Electronic,Miscellaneous,0.27410656213760376
Fine Art,Religious,0.27394920587539673
Hockey,Motorsports/Racing,0.2735152244567871
Children's Theatre,Music,0.2735111117362976
Latin,Music,0.27341827750205994
Community/Civic,Pop,0.27328526973724365
Rock,Rodeo,0.27295929193496704
Metal,Rodeo,0.2728707790374756
Community/Civic,Latin,0.27224481105804443
Fashion,Variety,0.2721843719482422
Miscellaneous,World,0.2720717787742615
Dance,Lecture/Seminar,0.27204346656799316
Hockey,Reggae,0.27195459604263306
Equestrian,Theatre,0.2719302177429199
Horror,Ice Skating,0.2719174325466156
Documentary,Drama,0.27186301350593567
Magic & Illusion,Opera,0.27182358503341675
Martial Arts,Religious,0.27156293392181396
Horror,Reggae,0.27104732394218445
Cultural,Metal,0.2706490755081177
Comedy,Hobby/Special Interest Expos,0.270567387342453
Children's Theatre,Dance,0.27047616243362427
Blues,R&B,0.2703363299369812
Hip-Hop/Rap,Ice Skating,0.27029410004615784
Basketball,Lecture/Seminar,0.2701883912086487
World,Wrestling,0.26998549699783325
Fine Art,Latin,0.2698058485984802
Boxing,Rock,0.2697170376777649
Action/Adventure,Roller Derby,0.2696493864059448
Football,World,0.26936987042427063
Fine Art,Miscellaneous,0.2692170739173889
Documentary,Horror,0.2688610553741455
Fashion,Rodeo,0.26884037256240845
Blues,Metal,0.2687326967716217
Religious,World,0.26864686608314514
Miscellaneous Theatre,Wrestling,0.26838821172714233
Baseball,Comedy,0.26832839846611023
Folk,Miscellaneous,0.2680428922176361
Fine Art,Reggae,0.2679341733455658
Football,Latin,0.26792165637016296
Ice Shows,Music,0.2676360011100769
Religious,Rock,0.2673322856426239
Football,Reggae,0.267170250415802
Performance Art,Pop,0.2670530676841736
Foreign,Soccer,0.26701509952545166
Children's Music,Martial Arts,0.2667894959449768
Equestrian,Opera,0.26675596833229065
Children's Music,Miscellaneous,0.26675593852996826
Latin,Performance Art,0.26639246940612793
Fashion,Roller Derby,0.26607516407966614
Children's Theatre,Wrestling,0.26603299379348755
Boxing,Performance Art,0.26558688282966614
Basketball,Folk,0.26542580127716064
Alternative,Blues,0.2653490900993347
Miscellaneous Theatre,Rodeo,0.26515305042266846
Dance,Reggae,0.265094518661499
Children's Theatre,Equestrian,0.26498347520828247
Music,World,0.2649637460708618
Alternative,Volleyball,0.2647611200809479
Horror,Music,0.264293372631073
Children's Music,Opera,0.2641979455947876
Jazz,Pop,0.2640334963798523
Fine Art,Opera,0.2639642059803009
Community/Civic,Rodeo,0.2638261914253235
Action/Adventure,Volleyball,0.26360100507736206
Children's Theatre,Magic & Illusion,0.26327523589134216
Children's Music,Hobby/Special Interest Expos,0.26319363713264465
Magic & Illusion,Rodeo,0.263043075799942
Baseball,Rock,0.26292651891708374
Miscellaneous Theatre,Soccer,0.2628375291824341
Drama,Roller Derby,0.26244625449180603
Baseball,Spectacular,0.26240822672843933
Family,Rodeo,0.26211634278297424
Football,Metal,0.26192712783813477
Fashion,Volleyball,0.26181113719940186
Pop,Volleyball,0.2615405023097992
Children's Music,Country,0.26141172647476196
Performance Art,Reggae,0.2613494098186493
Community/Civic,Volleyball,0.26104122400283813
Children's Theatre,Community/Civic,0.26091015338897705
Food & Drink,Soccer,0.2608134150505066
Boxing,Horror,0.26066726446151733
Fairs & Festivals,Magic & Illusion,0.26065707206726074
Children's Theatre,World,0.2602957785129547
Cultural,Ice Shows,0.26027119159698486
Hip-Hop/Rap,Wrestling,0.2600368857383728
Dance/Electronic,Fashion,0.2600221633911133
Fine Art,Horror,0.2599945366382599
Fashion,World,0.25968998670578003
Martial Arts,Miscellaneous Theatre,0.25943347811698914
Fashion,Psychics/Mediums/Hypnotists,0.25940632820129395
Action/Adventure,Dance,0.259025901556015
Performance Art,Religious,0.25894981622695923
Reggae,Rock,0.2588967978954315
Family,Football,0.25885340571403503
Hobby/Special Interest Expos,Holiday,0.2588065564632416
Baseball,Holiday,0.2587863504886627
Music,Pop,0.25832152366638184
Action/Adventure,Alternative,0.258235901594162
Foreign,Other,0.2580668032169342
Circus & Specialty Acts,Spectacular,0.2579285800457001
Latin,Roller Derby,0.2579168677330017
Cultural,Soccer,0.25788769125938416
Jazz,Soccer,0.25783616304397583
Circus & Specialty Acts,Rodeo,0.2577677071094513
Cultural,Folk,0.257585734128952
Folk,Martial Arts,0.2575398087501526
Circus & Specialty Acts,Opera,0.25737908482551575
Comedy,Science Fiction,0.25719529390335083
Ice Skating,Motorsports/Racing,0.25712960958480835
Alternative,Children's Music,0.2569798231124878
Extreme,Horror,0.2566843330860138
Dance,Metal,0.2566823959350586
Jazz,Latin,0.2565044164657593
Boxing,Soccer,0.25648605823516846
Dance/Electronic,Music,0.2563822269439697
Dance,Motorsports/Racing,0.2559513747692108
Blues,Football,0.2559327483177185
Circus & Specialty Acts,Volleyball,0.2558913230895996
Comedy,Ice Skating,0.25545498728752136
Baseball,Jazz,0.25529414415359497
Hip-Hop/Rap,Performance Art,0.25512367486953735
Metal,Religious,0.2550640404224396
Children's Music,Magic & Illusion,0.2548234760761261
Holiday,Martial Arts,0.2547014355659485
Classical,Music,0.2545376121997833
Miscellaneous,Pop,0.2542545795440674
Equestrian,Spectacular,0.25424835085868835
Hobby/Special Interest Expos,Magic & Illusion,0.25379955768585205
Martial Arts,Rock,0.2537555694580078
Jazz,Lecture/Seminar,0.2535720467567444
Fairs & Festivals,Fine Art,0.2534480690956116
Family,Music,0.25335389375686646
Spectacular,Theatre,0.253215491771698
Magic & Illusion,Motorsports/Racing,0.25318852066993713
Alternative,Metal,0.25318053364753723
Family,Foreign,0.25299927592277527
Dance/Electronic,World,0.25283849239349365
Action/Adventure,Horror,0.25270241498947144
Folk,Metal,0.252698689699173
Hip-Hop/Rap,Opera,0.2526273727416992
Fashion,Fine Art,0.25251057744026184
Dance/Electronic,Pop,0.25248444080352783
Drama,Fashion,0.25241976976394653
Dance/Electronic,Theatre,0.25240153074264526
Football,Theatre,0.2520955204963684
Holiday,Multimedia,0.25185778737068176
Holiday,Latin,0.2513746917247772
Family,Performance Art,0.251252144575119
Drama,Music,0.2510070204734802
Reggae,Spectacular,0.250698983669281
Ballads/Romantic,Blues,0.25055205821990967
Latin,Miscellaneous Theatre,0.2503316104412079
Comedy,Soccer,0.2502397894859314
Miscellaneous Theatre,Multimedia,0.2502007484436035
Comedy,Miscellaneous Theatre,0.24974042177200317
Boxing,Metal,0.24961158633232117
Family,Wrestling,0.2495083063840866
Community/Civic,Folk,0.24950191378593445
Action/Adventure,Fine Art,0.24946328997612
Hobby/Special Interest Expos,Miscellaneous Theatre,0.24909177422523499
